no,nama_mahasiswa,nim,umur,pendapatan
1,Humam,22.11.5178,19,12000000
2,Nawa,22.11.5179,20,13000000
3,Mufi,22.11.5180,21,8000000
4,Hayya,22.11.5181,22,10000000
5,Egi,22.11.5182,21,12000000
6,Difa,22.11.5183,20,13000000
7,Ricki,22.11.5184,20,8000000
8,Hevin,22.11.5185,19,10000000
9,Figo,22.11.5186,19,9000000
10,Deni,22.11.5187,20,6000000
11,Yoga,22.11.5188,21,8000000
12,Ammar,22.11.5189,21,12000000
13,Rin,22.11.5190,22,12000000
14,Fauza,22.11.5191,23,13000000
15,Wahyu,22.11.5192,20,8000000
16,Shandika,22.11.5193,20,10000000
17,Feri,22.11.5194,20,9000000
18,Royyan,22.11.5195,21,6000000
19,Aul,22.11.5196,20,8000000
20,Sela,22.11.5197,20,12000000
